kode_kab,kode_instansi,unit_kerja,email,telp
1109,1010001,PUSKESMAS TEUPAH SELATAN,teupahselatan@gmail.com,081272279226
1109,1010002,PUSKESMAS SIMEULUE TIMUR,simeuluetimur@gmail.com,081248313984
1109,1010003,PUSKESMAS TEUPAH TENGAH,teupahtengah@gmail.com,081220832913
1109,1010004,PUSKESMAS TEUPAH BARAT,teupahbarat@gmail.com,081251831120
1109,1010005,PUSKESMAS SIMEULUE TENGAH,simeuluetengah@gmail.com,081290567867
1109,1010006,PUSKESMAS SIMEULUE CUT,simeuluecut@gmail.com,081207290642
1109,1010007,PUSKESMAS TELUK DALAM,telukdalam@gmail.com,081208137702
1109,1010008,PUSKESMAS SALANG,salang@gmail.com,081220892822
1109,1010009,PUSKESMAS SIMEULUE BARAT,simeuluebarat@gmail.com,081219819708
1109,1010010,PUSKESMAS SANGGIRAN,sanggiran@gmail.com,081255072056
1109,1010011,PUSKESMAS ALAFAN,alafan@gmail.com,081267713314
1110,1010012,PUSKESMAS PULAU BANYAK,pulaubanyak@gmail.com,081254459371
1110,1010013,PUSKESMAS PULAU BANYAK BARAT,pulaubanyakbarat@gmail.com,081288218553
1110,1010014,PUSKESMAS SINGKIL,singkil@gmail.com,081225671971
1110,1010015,PUSKESMAS SINGKIL UTARA,singkilutara@gmail.com,081201222888
1110,1010016,PUSKESMAS KUALA BARU,kualabaru@gmail.com,081286838229
1110,1010017,PUSKESMAS SIMPANG KANAN,simpangkanan@gmail.com,081217660922
1110,1010018,PUSKESMAS GUNUNG MERIAH,gunungmeriah@gmail.com,081239131528
1110,1010019,PUSKESMAS DANAU PARIS,danauparis@gmail.com,081222758542
1110,1010020,PUSKESMAS SURO,suro@gmail.com,081219332373
1110,1010021,PUSKESMAS SINGKOHOR,singkohor@gmail.com,081295996199
1110,1010022,PUSKESMAS KUTA BAHARU,kutabaharu@gmail.com,081244951128
1101,1010023,PUSKESMAS TRUMON,trumon@gmail.com,081246459578
1101,1010024,PUSKESMAS LADANG RIMBA,ladangrimba@gmail.com,081299364725
1101,1010025,PUSKESMAS KRUENG LUAS,kruengluas@gmail.com,081259170682
1101,1010026,PUSKESMAS BAKONGAN,bakongan@gmail.com,081232252468
1101,1010027,PUSKESMAS BUKIT GADENG,bukitgadeng@gmail.com,081212909372
1101,1010028,PUSKESMAS SEUBADEH,seubadeh@gmail.com,081241409437
1101,1010029,PUSKESMAS KLUET SELATAN,kluetselatan@gmail.com,081240132163
1101,1010030,PUSKESMAS DURIAN KAWAN,duriankawan@gmail.com,081222764292
1101,1010031,PUSKESMAS KLUET TIMUR,kluettimur@gmail.com,081281000529
1101,1010032,PUSKESMAS KLUET UTARA,kluetutara@gmail.com,081214697476
1101,1010033,PUSKESMAS KAMPUNG PAYA,kampungpaya@gmail.com,081214967169
1101,1010034,PUSKESMAS KUALA BA'U,kualabau@gmail.com,081241150055
1101,1010035,PUSKESMAS LADANG TUHA,ladangtuha@gmail.com,081291274519
1101,1010036,PUSKESMAS MENGGAMAT,menggamat@gmail.com,081240873843
1101,1010037,PUSKESMAS TAPAKTUAN,tapaktuan@gmail.com,081299874673
1101,1010038,PUSKESMAS LHOK BENGKUANG,lhokbengkuang@gmail.com,081256226471
1101,1010039,PUSKESMAS SAMADUA,samadua@gmail.com,081260349356
1101,1010040,PUSKESMAS SAWANG,sawang@gmail.com,081289825874
1101,1010041,PUSKESMAS MEUKEK,meukek@gmail.com,081211970217
1101,1010042,PUSKESMAS DRIEN JALO,drienjalo@gmail.com,081204645287
1101,1010043,PUSKESMAS LABUHAN HAJI,labuhanhaji@gmail.com,081258282574
1101,1010044,PUSKESMAS PEULUMAT,peulumat@gmail.com,081203926920
1101,1010045,PUSKESMAS BLANGKEJEREN,blangkejeren@gmail.com,081272850749
1102,1010046,PUSKESMAS NGKERAN,ngkeran@gmail.com,081233802936
1102,1010047,PUSKESMAS LAWE SUMUR,lawesumur@gmail.com,081217356842
1102,1010048,PUSKESMAS UNING SIGUR-GUR,uningsigurgur@gmail.com,081215407846
1102,1010049,PUSKESMAS TANOH ALAS,tanohalas@gmail.com,081230828975
1102,1010050,PUSKESMAS LAWE SIGALA-GALA,lawesigalagala@gmail.com,081242726855
1102,1010051,PUSKESMAS LAWE PERBUNGA,laweperbunga@gmail.com,081246239680
1102,1010052,PUSKESMAS GURGUR PARDOMUAN,gurgurpardomuan@gmail.com,081266991529
1102,1010053,PUSKESMAS SUKA MAKMUR,sukamakmur@gmail.com,081262387620
1102,1010054,PUSKESMAS LEUSER,leuser@gmail.com,081263778550
1102,1010055,PUSKESMAS NAGA TIMBUL,nagatimbul@gmail.com,081257109320
1102,1010056,PUSKESMAS BIAK MULI,biakmuli@gmail.com,081265482136
1102,1010057,PUSKESMAS LAWE DUA,lawedua@gmail.com,081283719736
1102,1010058,PUSKESMAS KOTA KUTACANE,kotakutacane@gmail.com,081296899037
1102,1010059,PUSKESMAS KUTAMBARU,kutambaru@gmail.com,081252162681
1102,1010060,PUSKESMAS NATAM,natam@gmail.com,081212544691
1102,1010061,PUSKESMAS MAMAS,mamas@gmail.com,081246332037
1102,1010062,PUSKESMAS JAMBUR LAK-LAK,jamburlaklak@gmail.com,081259419523
1102,1010063,PUSKESMAS DELENG POKHKISEN,delengpokhkisen@gmail.com,081294247188
1103,1010064,PUSKESMAS LOKOP,lokop@gmail.com,081221608798
1103,1010065,PUSKESMAS SIMPANG JERNIH,simpangjernih@gmail.com,081297677747
1103,1010066,PUSKESMAS PEUNARON,peunaron@gmail.com,081214167209
1103,1010067,PUSKESMAS BIREM BAYEUN,birembayeun@gmail.com,081284792290
1103,1010068,PUSKESMAS RANTAU SELAMAT,rantauselamat@gmail.com,081267741536
1103,1010069,PUSKESMAS SUNGAI RAYA,sungairaya@gmail.com,081226290838
1103,1010070,PUSKESMAS PEUREULAK,peureulak@gmail.com,081244770206
1103,1010071,PUSKESMAS PEUREULAK TIMUR,peureulaktimur@gmail.com,081275506934
1103,1010072,PUSKESMAS PEUREULAK BARAT,peureulakbarat@gmail.com,081285892570
1103,1010073,PUSKESMAS RANTO PEUREULAK,rantopeureulak@gmail.com,081224441161
1103,1010074,PUSKESMAS IDI RAYEUK,idirayeuk@gmail.com,081233901931
1103,1010075,PUSKESMAS PEUDAWA,peudawa@gmail.com,081233129187
1103,1010076,PUSKESMAS KEUDE GEUROBAK,keudegeurobak@gmail.com,081284565621
1103,1010077,PUSKESMAS IDI TUNONG,iditunong@gmail.com,081247610580
1103,1010078,PUSKESMAS DARUL IHSAN,darulihsan@gmail.com,081248727137
1103,1010079,PUSKESMAS IDI TIMUR,iditimur@gmail.com,081268491639
1103,1010080,PUSKESMAS DARUL AMAN,darulaman@gmail.com,081236835937
1103,1010081,PUSKESMAS NURUSSALAM,nurussalam@gmail.com,081268830119
1103,1010082,PUSKESMAS DARUL FALAH,darulfalah@gmail.com,081207476665
1103,1010083,PUSKESMAS JULOK,julok@gmail.com,081258797669
1103,1010084,PUSKESMAS ALUE IE MIRAH,alueiemirah@gmail.com,081231153350
1103,1010085,PUSKESMAS PERKEBUNAN INTI ALUE IE ITAM,perkebunanintialueieitam@gmail.com,081220421760
1103,1010086,PUSKESMAS MATANG PUDENG,matangpudeng@gmail.com,081221928489
1103,1010087,PUSKESMAS PANTE BIDARI,pantebidari@gmail.com,081239211707
1103,1010088,PUSKESMAS SIMPANG ULIM,simpangulim@gmail.com,081205437575
1103,1010089,PUSKESMAS MADAT,madat@gmail.com,081275482017
1104,1010090,PUSKESMAS LINGE,linge@gmail.com,081221261341
1104,1010091,PUSKESMAS ATU LINTANG,atulintang@gmail.com,081260605207
1104,1010092,PUSKESMAS JAGONG,jagong@gmail.com,081244076105
1104,1010093,PUSKESMAS BINTANG,bintang@gmail.com,081252742172
1104,1010094,PUSKESMAS LUT TAWAR,luttawar@gmail.com,081255352080
1104,1010095,PUSKESMAS KEBAYAKAN,kebayakan@gmail.com,081268804974
1104,1010096,PUSKESMAS PEGASING,pegasing@gmail.com,081252814579
1104,1010097,PUSKESMAS BIES,bies@gmail.com,081243356965
1104,1010098,PUSKESMAS BEBESEN,bebesen@gmail.com,081256575365
1104,1010099,PUSKESMAS KUTE PANANG,kutepanang@gmail.com,081245213907
1104,1010100,PUSKESMAS SILIH NARA,silihnara@gmail.com,081226994998
1104,1010101,PUSKESMAS KETOL,ketol@gmail.com,081288010359
1104,1010102,PUSKESMAS CELALA,celala@gmail.com,081287467643
1104,1010103,PUSKESMAS RUSIP ANTARA,rusipantara@gmail.com,081257874659
1105,1010104,PUSKESMAS JOHAN PAHLAWAN,johanpahlawan@gmail.com,081265996451
1105,1010105,PUSKESMAS SUAK RIBEE,suakribee@gmail.com,081294015925
1105,1010106,PUSKESMAS COT SEUMEREUNG,cotseumereung@gmail.com,081244905661
1105,1010107,PUSKESMAS KUTA PADANG LAYUNG,kutapadanglayung@gmail.com,081288523301
1105,1010108,PUSKESMAS DRIEN RAMPAK,drienrampak@gmail.com,081278045495
1105,1010109,PUSKESMAS KUALA BHEE,kualabhee@gmail.com,081274127410
1105,1010110,PUSKESMAS PASIE MALI (WOYLA BARAT),pasiemaliwoylabarat@gmail.com,081216521771
1105,1010111,PUSKESMAS TANGKEH,tangkeh@gmail.com,081250004479
1105,1010112,PUSKESMAS PEUREUMEU,peureumeu@gmail.com,081240755819
1105,1010113,PUSKESMAS MEUREUBO,meureubo@gmail.com,081249557890
1105,1010114,PUSKESMAS PANTE CEUREUMEN,panteceureumen@gmail.com,081249901774
1105,1010115,PUSKESMAS MENTULANG,mentulang@gmail.com,081293227076
1105,1010116,PUSKESMAS KAJEUNG,kajeung@gmail.com,081204313454
