kode_kab,kode_instansi,unit_kerja,email,telp
1109,1101015,RS UMUM DAERAH SIMEULUE,umumdaerahsimeulue@gmail.com,081289320917
1110,1102016,RS UMUM DAERAH ACEH SINGKIL,umumdaerahacehsingkil@gmail.com,081238170429
1175,1102027,RS UMUM DAERAH KOTA SUBULUSSALAM,umumdaerahkotasubulussala@gmail.com,081211625563
1101,1103010,RS UMUM DAERAH DR. H. YULIDIN AWAY,umumdaerahdrhyulidinaway@gmail.com,081203708555
1102,1104011,RS UMUM DAERAH H. SAHUDIN KUTACANE,umumdaerahhsahudinkutacan@gmail.com,081201160459
1102,1104012,RS UMUM NURUL HASANAH,umumnurulhasanah@gmail.com,081234180874
1102,1104013,RS IBU DAN ANAK KELUARGA DESA,ibudananakkeluargadesa@gmail.com,081262123107
1116,1105034,RS UMUM PERTAMINA RANTAU,umumpertaminarantau@gmail.com,081296181042
1103,1105056,RS UMUM DAERAH DR. ZUBIR MAHMUD,umumdaerahdrzubirmahmud@gmail.com,081269032784
1103,1105067,RS UMUM DAERAH SULTAN ABDUL AZIZ SYAH PEUREULAK,umumdaerahsultanabdulaziz@gmail.com,081265990639
1103,1105078,RS UMUM GRAHA BUNDA,umumgrahabunda@gmail.com,081249357914
1104,1106013,RS UMUM DAERAH DATU BERU TAKENGON,umumdaerahdatuberutakengo@gmail.com,081276393902
1104,1106014,RS UMUM FANDIKA,umumfandika@gmail.com,081211133279
1105,1107014,RS UMUM DAERAH CUT NYAK DHIEN,umumdaerahcutnyakdhien@gmail.com,081259103763
1105,1107015,RS UMUM MONTELLA,umummontella@gmail.com,081291080079
1105,1107016,RS UMUM HARAPAN SEHAT,umumharapansehat@gmail.com,081226601229
1105,1107017,RS TINGKAT IV IM 07.02,tingkativim0702@gmail.com,081236646357
1106,1108015,RS UMUM DAERAH KABUPATEN ACEH BESAR,umumdaerahkabupatenacehbe@gmail.com,081265222556
1106,1108016,RS UMUM AL-ISLAMIC ACEH HOSPITAL,umumalislamicacehhospital@gmail.com,081259722215
1106,1108017,RS UMUM IBNU SINA,umumibnusina@gmail.com,081251335522
1107,1109016,RS UMUM DAERAH TGK CHIK DITIRO SIGLI,umumdaerahtgkchikditirosi@gmail.com,081293227747
1107,1109027,RS UMUM DAERAH TGK. ABDULLAH SYAFII BEUREUNEUN,umumdaerahtgkabdullahsyaf@gmail.com,081249584891
1107,1109028,RS UMUM MUFID,umummufid@gmail.com,081238455534
1107,1109029,RS UMUM CITRA HUSADA,umumcitrahusada@gmail.com,081257387535
1107,1109031,RS ISLAM IBNU SINA SIGLI,islamibnusinasigli@gmail.com,081278072569
1107,1109042,RS UMUM HARAPAN IBU,umumharapanibu@gmail.com,081211057167
1111,1110027,RS UMUM MALAHAYATI,umummalahayati@gmail.com,081230249719
1173,1110053,RS ARUN LHOKSEUMAWE,arunlhokseumawe@gmail.com,081271788787
1111,1110075,RS UMUM DAERAH DR. FAUZIAH BIREUN,umumdaerahdrfauziahbireun@gmail.com,081217572865
1173,1110086,RS UMUM BUNDA,umumbunda@gmail.com,081270228537
1111,1110101,RS UMUM BIREUEN MEDICAL CENTER,umumbireuenmedicalcenter@gmail.com,081269160033
1111,1110102,RS UMUM TELAGA BUNDA,umumtelagabunda@gmail.com,081267717621
1111,1110103,RS UMUM AVICENNA,umumavicenna@gmail.com,081225540428
1111,1110104,RS UMUM JEUMPA HOSPITAL,umumjeumpahospital@gmail.com,081284683448
1108,1111005,RS UMUM PRIMA INTI MEDIKA,umumprimaintimedika@gmail.com,081259567508
1108,1111006,RS UMUM DAERAH DR. MUCHTAR HASBI,umumdaerahdrmuchtarhasbi@gmail.com,081211963369
1173,1111018,RS UMUM PMI CABANG ACEH UTARA,umumpmicabangacehutara@gmail.com,081259820542
1112,1112011,RS UMUM DAERAH TEUNGKU PEUKAN,umumdaerahteungkupeukan@gmail.com,081203781113
1113,1113012,RS UMUM MUHAMMAD ALI KASIM,umummuhammadalikasim@gmail.com,081270773539
1116,1114011,RS UMUM DAERAH TAMIANG,umumdaerahtamiang@gmail.com,081279109075
1115,1115012,RS UMUM DAERAH SULTAN ISKANDAR MUDA NAGAN RAYA,umumdaerahsultaniskandarm@gmail.com,081285821226
1114,1116011,RS UMUM DAERAH TEUKU UMAR KABUPATEN ACEH JAYA,umumdaerahteukuumarkabupa@gmail.com,081202954077
1117,1117025,RS UMUM DAERAH MUYANG KUTE REDELONG BENER MERIAH,umumdaerahmuyangkuteredel@gmail.com,081245166184
1117,1117027,RS IBU DAN ANAK AZALIA,ibudananakazalia@gmail.com,081221631445
1118,1118012,RS UMUM DAERAH PIDIE JAYA,umumdaerahpidiejaya@gmail.com,081273438387
1171,1171015,RS UMUM DAERAH  DR. ZAINOEL ABIDIN,umumdaerahdrzainoelabidin@gmail.com,081289668543
1171,1171026,RS TK. II ISKANDAR MUDA BANDA ACEH,tkiiiskandarmudabandaaceh@gmail.com,081226618998
1171,1171041,RS JIWA ACEH,jiwaaceh@gmail.com,081211711871
